"cid","tid","indication","approval"
941361,"D05CEU","Migraine","Approved"
2157,"D0L5WM","Tachyarrhythmias","Approved"
4826,"D02KMO","High blood pressure","Approved"
4201,"D0Y2CJ","Hypertension","Approved"
1727,"D08YIN","Multiple sclerosis","Approved"
4913,"D0U5SI","Ventricular arrhythmias","Approved"
4485,"D04OSE","Angina pectoris","Approved"
3478,"D0Z4SB","Diabetic complication","Approved"
3676,"D0X4RN","Anaesthesia","Approved"
3676,"D0X4RN","Dysmenorrhea","Phase 2"
4497,"D0XN1F","Cerebral vasospasm","Approved"
4474,"D0T0KA","High blood pressure","Approved"
129348,"D0U8IJ","Asthma","Discontinued in Phase 1"
5775,"D01JUF","Dermal necrosis","Approved"
4507,"D0A1DH","Hypertension","Approved"
16362,"D00KHM","Schizophrenia","Approved"
3034034,"D03DDR","Malaria","Approved"
3356,"D03DAP","Tachyarrhythmias","Approved"
3356,"D03DAP","Paroxysmal atrial fibrillation","Phase 1"
3356,"D03DAP","Atrial fibrillation","Investigative"
3955,"D0CS2F","Diarrhea","Approved"
5503,"D09FJB","Diabetic complication","Approved"
3371,"D0B2WJ","Dysmenorrhea","Approved"
6914273,"D0I8DD","Hyperthermia","Approved"
4552,"D09BVL","Asthma","Terminated"
4932,"D0J2KV","Tachyarrhythmias","Approved"
16231,"D0I0RJ","Congestive heart failure","Approved"
104955,"D0HQ1W","Angina pectoris","Terminated"
9884487,"D0C4JX","Pain","Terminated"
39186,"D0OB1J","Hypertension","Approved"
3019,"D07WEP","Hypertension","Approved"
1775,"D0E4DW","Epilepsy","Approved"
2130,"D02KRS","Influenza A virus infection","Approved"
2351,"D0Y4JJ","Chronic/stable angina","Approved"
3488,"D05LYX","Diabetic complication","Approved"
3488,"D05LYX","Stroke","Phase 3"
5505,"D06OIV","Non-insulin dependent diabetes","Approved"
4488,"D00HGB","Rheumatoid arthritis","Approved"
3675,"D0P9AC","Depression","Approved"
3675,"D0P9AC","Skin imperfections","Patented"
5533,"D00USF","Depression","Approved"
4205,"D05ZIK","Depression","Approved"
4236,"D07HQC","Narcolepsy","Approved"
4236,"D07HQC","Bipolar disorder","Phase 4"
4236,"D07HQC","Brain injury","Investigative"
4528,"D06BPG","Breast cancer","Withdrawn from market"
2771,"D0R6LF; D0Y5DO","Depression","Approved"
3386,"D0TR5X","Depression","Approved"
5324346,"D03HFG","Depression","Approved"
43815,"D06GDY","Depression","Approved"
5365247,"D0C1XS","Major depressive disorder","Withdrawn from market"
5365247,"D0C1XS","Depression","Withdrawn from market"
68870,"D06CVT","Major depressive disorder","Approved"
4976,"D00MYQ","Depression","Approved"
4449,"D0X7DE","Major depressive disorder","Approved"
4449,"D0X7DE","Depression","Withdrawn from market"
3121,"D0Y3KG","Epilepsy","Approved"
3121,"D0Y3KG","Alcohol dependence","Phase 2"
2554,"D04MSM","Epilepsy","Approved"
2554,"D04MSM","Type-1 diabetes","NDA filed"
2554,"D04MSM","Gastric adenocarcinoma","Phase 3"
3878,"D03FLC","Bipolar disorder","Approved"
3878,"D03FLC","Epilepsy","Approved"
3446,"D0J0ZS","Complex partial seizure","Approved"
3446,"D0J0ZS","Solid tumour/cancer","Phase 3"
34312,"D0QL3P","Epilepsy","Approved"
4917,"D0B2UZ","Nausea","Approved"
5452,"D0U1OE","Schizophrenia","Approved"
5568,"D05NOS","Psychotic disorder","Approved"
3559,"D0D1AL","Schizophrenia","Approved"
3168,"D03CJL","Nausea","Approved"
5074,"D0K8NW","Anxiety disorder","Discontinued in Phase 3"
3455,"D0N2HF","Cocaine addiction","Discontinued in Phase 1"
58144,"D0BQ8M","Pain","Discontinued in Phase 2"
6603703,"D0P2YS","Parkinson disease","Terminated"
5025739,"D03TNA","Erectile dysfunction","Discontinued in Phase 2"
6005,"D0H6QU","Parkinson disease","Approved"
6005,"D0H6QU","Idiopathic parkinson disease","Phase 3"
6005,"D0H6QU","Sexual dysfunction","Phase 2"
5070,"D0H0KB","Amyotrophic lateral sclerosis","Approved"
127151,"D0N8FQ","Depression","Approved"
65833,"D09VGC","Depression","Approved"
2160,"D0Y5UG","Depression","Approved"
2801,"D0ZS8P","Depression","Approved"
667477,"D06FES","Depression","Approved"
3696,"D06ZUK","Depression","Approved"
5284627,"D07VDZ","Alcohol dependence","Approved"
5284627,"D07VDZ","Epilepsy","Approved"
5284627,"D07VDZ","Seizure disorder","Investigative"
2726,"D01ZII","Schizophrenia","Approved"
3372,"D0P5SA","Psychotic disorder","Approved"
4748,"D02HED","Schizophrenia","Approved"
135398737,"D0Z1RV","Schizophrenia","Approved"
9915956,"D0Q1ER","Anxiety disorder","Terminated"
16351,"D0PX8L","Schizophrenia","Approved"
3028194,"D5MF8Y","Fragile X syndrome","Phase 2"
312145,"D0P1JI","Haematological malignancy","Terminated"
3062316,"D0E6XR","Chronic myelogenous leukaemia","Approved"
3062316,"D0E6XR","Multiple myeloma","Phase 2"
216239,"D0W5HK","Renal cell carcinoma","Approved"
216239,"D0W5HK","Hepatocellular carcinoma","Phase 3"
216239,"D0W5HK","Myelodysplastic syndrome","Phase 2"
151194,"D0P6DJ","Solid tumour/cancer","Phase 2"
5329102,"D0R0MW; D0YX2B","Gastrointestinal stromal tumour","Approved"
5329102,"D0R0MW; D0YX2B","Gastrointestinal cancer","Approved"
5291,"D0AZ3C","Chronic myelogenous leukaemia","Approved"
5291,"D0AZ3C","Acute lymphoblastic leukaemia","Approved"
5291,"D0AZ3C","Intestinal cancer","Phase 3"
5291,"D0AZ3C","Lung cancer","Phase 2"
5291,"D0AZ3C","Systemic mastocytosis","Investigative"
160355,"D05ADP","Non-small-cell lung cancer","Phase 2"
160355,"D05ADP","Solid tumour/cancer","Phase 2"
160355,"D05ADP","Nasopharyngeal carcinoma","Investigative"
9829523,"D07NVU","Acute myeloid leukaemia","Approved"
9829523,"D07NVU","Systemic mastocytosis","Approved"
9829523,"D07NVU","Chronic myelomonocytic leukaemia","Phase 2"
9829523,"D07NVU","Colorectal cancer","Phase 1"
126565,"D0V9WF","Acute myeloid leukaemia","Approved (orphan drug)"
126565,"D0V9WF","Myeloid leukaemia","Phase 3"
126565,"D0V9WF","Psoriasis vulgaris","Phase 2/3"
153999,"D0W3LI","Solid tumour/cancer","Phase 2"
187,"D0Q9HF","Cataract","Approved"
439260,"D07MOX","Sepsis","Approved"
681,"D0T7OW","Parkinson disease","Approved"
681,"D0T7OW","Hypotension","Phase 1"
119,"D04QAC; D0C9XA","Inflammatory bowel disease","Phase 2"
750,"D0M8AB","Malnutrition","Approved"
5816,"D04PHC","Allergy","Approved"
4581,"D0L9YS","Thrombosis","Discontinued in Phase 2a"
896,"D0AN7B","Insomnia","Approved"
774,"D04USC","Respiratory allergy","Approved"
33032,"D00ENY","Schizophrenia","Approved"
7028,"D00HHS","Nasal congestion","Approved"
60961,"D06IAR","Paroxysmal supraventricular tachycardia","Approved"
3100,"D01FGR","Meniere disease","Approved"
47811,"D04JCN","Parkinson disease","Approved"
3373,"D0D5GD","Benzodiazepine overdose","Approved"
3348,"D01KPV","Allergic rhinitis","Approved"
5405,"D08SOF","Allergy","Withdrawn from market"
3957,"D06ABF","Allergy","Approved"
3957,"D06ABF","Allergic rhinitis","Discontinued in Phase 2"
3035905,"D05FYA","Cognitive impairment","Terminated"
3689,"D0I0DL","Alpha-1 antitrypsin deficiency","Approved"
3689,"D0I0DL","Cancer related pain","Withdrawn from market"
4418,"D04DKH","Hypertension","Approved"
2477,"D0U2OO","Anxiety disorder","Approved"
4927,"D0T2XU","Nausea","Approved"
23190,"D0I7TN","Arthritis","Terminated"
4011,"D03KQF","Major depressive disorder","Approved"
2170,"D09IOI","Major depressive disorder","Approved"
6321424,"D09YHJ","Intestinal strongyloidiasis due to nematode parasite","Approved"
3180,"D04QLR","Pain","Approved"
3366,"D0S5WG","Endocarditis","Approved"
121928,"D07MEL","Rheumatoid arthritis","Discontinued in Preregistration"
3463,"D05VIX","Hyperlipidaemia","Approved"
54678486,"D0E3OF","Atrial fibrillation","Approved"
54678486,"D0E3OF","Thrombosis","Application submitted"
4893,"D0WV3U","Congestive heart failure","Approved"
4893,"D0WV3U","Benign prostatic hyperplasia","Approved"
4893,"D0WV3U","Hypertension","Approved"
3822,"D08VRO","Hypertension","Approved"
3354,"D0ND2J","Suprapubic pain","Approved"
3354,"D0ND2J","Nocturia","Approved"
3354,"D0ND2J","Urgency","Approved"
3354,"D0ND2J","Dysuria","Approved"
3001055,"D0B8WN","Peptic ulcer","Approved"
3440,"D0PQ3G","Congestive heart failure","Approved"
3152,"D0NS6H","Alzheimer disease","Approved"
129211,"D05MBZ","Benign prostatic hyperplasia","Approved"
4594,"D01XNB","Gastroesophageal reflux disease","Approved"
135398744,"D0Z7ZM","Hereditary angioedema","Approved"
135398744,"D0Z7ZM","Erectile dysfunction","Approved"
110635,"D05MQK","Erectile dysfunction","Approved"
135400189,"D0C9SY","Erectile dysfunction","Approved"
3125,"D03ZDX","Pancreatic cancer","Phase 2/3"
3125,"D03ZDX","Prostate cancer","Phase 2"
2266,"D0E4WR","Acne vulgaris","Approved"
1820,"D06BFH","Glioma","Investigative"
1820,"D06BFH","Melanoma","Investigative"
31101,"D06YFA","Parkinson disease","Approved"
6834,"D08VXO","Allergic rhinitis","Approved"
21157,"D0Z6VR","Malaria","Investigative"
21157,"D0Z6VR","Solid tumour/cancer","Investigative"
174174,"D0RG3O","Organophosphate poisoning","Approved"
174174,"D0RG3O","Poison intoxication","Phase 1"
2471,"D0R7HO","Congestive heart failure","Approved"
247,"D0XB8P","Inborn error of metabolism","Approved"
5353454,"D0HJ1Y","Asthma","Terminated"
2216,"D0MT0M","Intra ocular pressure reduction","Approved"
5770,"D0J4JM","Hypertension","Approved"
2284,"D01AJY","Multiple sclerosis","Approved"
2284,"D01AJY","Fragile X syndrome","Phase 3"
5169,"D0VC0I","Pain","Investigative"
2369,"D03ROX","Hypertension","Approved"
9782,"D0CW1P","Inflammation","Approved"
9433,"D03TYI","Bronchial asthma","Approved"
9433,"D03TYI","Asthma","Phase 2"
169371,"D0D2RN","leukaemia","Withdrawn from market"
5281004,"D0Y7IU","Asthma","Approved"
5087,"D07FHZ","Asthma","Terminated"
72172,"D0RA5Q","Acute myeloid leukaemia","Approved"
9444,"D09FAZ","Myelodysplastic syndrome","Approved"
1647,"D7ZXE5","Cardiac arrest","Preclinical"
3038495,"D0EE6L","Cocaine addiction","Discontinued in Phase 2"
446727,"D0Z9LP","Pancreatic cancer","Phase 2/3"
446727,"D0Z9LP","Infectious disease","Phase 2/3"
4768,"D0X2DK","Malignant essential hypertension","Approved"
1967,"D06XRQ","Allergy","Terminated"
1935,"D0E6YQ","Alzheimer disease","Approved"
57363,"D08IWD","Benign prostatic hyperplasia","Approved"
1646,"D09DLP","Alzheimer disease","Phase 3"
444,"D0X4ZR","Smoking dependence","Approved"
1697,"D03QTP","Solid tumour/cancer","Terminated"
2265,"D07QCE","Organ transplant rejection","Approved"
135398513,"D0B5MP","Virus infection","Approved"
135398513,"D0B5MP","Herpes simplex virus infection","Phase 3"
6322,"D0F5DO","Growth hormone deficiency","Approved"
2708,"D0V8QT","Chronic lymphocytic leukaemia","Approved"
13804,"D02CFP","Cerebrovascular ischaemia","Approved"
2244,"D0GY5Z; D07DPI","Pain","Approved"
2244,"D0GY5Z; D07DPI","Myocardial infarction","Approved"
2244,"D0GY5Z; D07DPI","Cardiovascular disease","Phase 3"
2763,"D0EJ6O","Hyperlipoproteinemia","Approved"
2578,"D01OXI","Liver cancer","Approved"
2578,"D01OXI","Brain cancer","Approved"
689043,"D0V9EN","Thrombocytopenia","Phase 4"
2754,"D03VPC","Intermittent claudication","Approved"
2519,"D0B3HD; D0H9IX","Orthostatic hypotension","Approved"
2907,"D0CT9C","Solid tumour/cancer","Approved"
4342,"D04BQR","Solid tumour/cancer","Discontinued in Phase 3"
23666345,"D03BZN","Type-2 diabetes","Phase 1/2"
2141,"D06CIE","Mucositis","Approved"
1986,"D0E1SW","Glaucoma/ocular hypertension","Approved"
2230,"D07EFM","Parkinson disease","Phase 1"
6234,"D02WFK","Tuberculosis","Approved"
6234,"D02WFK","Bacterial infection","Approved"
6234,"D02WFK","Obsessive compulsive disorder","Phase 2"
2727,"D00BCP","Non-insulin dependent diabetes","Approved"
126941,"D0SV8E","leukaemia","Approved"
126941,"D0SV8E","Solid tumour/cancer","Phase 3"
126941,"D0SV8E","Proliferative vitreoretinopathy","Phase 3"
126941,"D0SV8E","Rheumatoid arthritis","Phase 1"
126941,"D0SV8E","Prostate cancer","Investigative"
73333,"D0V4JO","Alcohol dependence","Terminated"
2146,"D0V0NL","Diabetic retinopathy","Phase 1"
2146,"D0V0NL","Rheumatoid arthritis","Discontinued in Phase 2"
2146,"D0V0NL","Insulin-resistant disorder","Discontinued in Phase 2"
667467,"D0B0CP","Psychotic disorder","Approved"
89105,"D07ZHV","Solid tumour/cancer","Discontinued in Phase 2"
426756,"D0X7HM","Ovarian cancer","Approved"
222786,"D0IX6I","Atopic dermatitis","Approved"
12035,"D06XGW","Liver disease","Approved"
2249,"D01UXC","Hypertension","Approved"
4211,"D0Z5OE","Adrenocortical carcinoma","Approved"
2725,"D0B7NG","Allergic rhinitis","Approved"
5745,"D0X4RS","Solid tumour/cancer","Approved"
564,"D0FD0H","Bleeding disorder","Approved"
564,"D0FD0H","Postoperative hemorrhage","Approved"
135401907,"D04KYY","Hyperuricaemia","Approved"
2119,"D01VAB","Hypertension","Withdrawn from market"
2531,"DW56QV","Huntington disease","Investigative"
44093,"D0I0EG","Hypertension","Approved"
60839,"D01HTH","Ischemic stroke","Investigative"
2123,"D02LPF","Ovarian cancer","Approved"
5831,"D0U7BW","Glaucoma/ocular hypertension","Approved"
2733,"D08ZEB","Acute pain","Approved"
6024,"D01PLN","Bacterial infection","Approved"
2756,"D02DPA","Acid-reflux disorder","Approved"
2895,"D01KHH","Depression","Approved"
2562,"D09VBC","Cough","Approved"
1794,"D02YIW","Coronavirus infection","Preclinical"
2145,"D0M6DO","Cushing disease","Approved"
2179,"D0G9YH","Acute lymphoblastic leukaemia","Approved"
27447,"D0Z5EM","Bacterial infection","Approved"
2720,"D0M9WM","Congestive heart failure","Approved"
33255,"D09KDN","Bacterial infection","Approved"
2782,"D06XDJ","Hepatitis C virus infection","Phase 1"
2370,"D07ZTO","Urinary retention","Approved"
1547484,"D0Q3YO","Vertigo meniere disease","Approved"
2196,"D02DPU","Cerebrovascular ischaemia","Approved"
5479530,"D07ACT","Bacterial infection","Approved"
854019,"D0TY5N","Insecticide","Approved"
5312115,"D07WHS","Obesity","Phase 2"
2812,"D09GOS","Fungal infection","Approved"
2913,"D00TLN","Rhinitis","Approved"
42008,"D05UBX","Bacterial infection","Approved"
2796,"D0J5DC","Dysbetalipoproteinemia","Approved"
6253,"D07XSN; D0XU9F","Acute lymphoblastic leukaemia","Approved"
6253,"D07XSN; D0XU9F","Acute leukaemia","Investigative"
51039,"D0PW7C","Bacterial infection","Approved"
1989,"D07WFK","Diabetic complication","Approved"
9417,"D0D7TB","Anxiety disorder","Approved"
5944,"D0Z2RA","Molluscum contagiosum infection","Approved"
2803,"D03SKR","Hypertension","Approved"
2803,"D03SKR","Diabetic neuropathy","Phase 3"
5742673,"D0D1HA","Bacterial infection","Approved"
20469,"D07DVK","Allergic rhinitis","Approved"
20469,"D07DVK","Asthma","Approved"
656575,"D0XQ0Q","Pseudomonas infection","Approved"
38103,"D06KKS","Bacterial infection","Approved"
2762,"D07UXP","Urinary tract infection","Approved"
2576,"D05PLH","Musculoskeletal disorder","Approved"
6604009,"D00VPT","Schizoaffective disorder","Preclinical"
6604009,"D00VPT","Schizophrenia","Preclinical"
26987,"D0C5XC","Allergic rhinitis","Approved"
6167,"D09DHY","Acute gouty arthritis","Approved"
2910,"D03CNS","Congestive heart failure","Approved"
24360,"D09YDM","Solid tumour/cancer","Phase 3"
9294,"D0LG8E","Asthma","Approved"
3202,"D0S5LH","Myasthenia gravis","Approved"
3194,"D0B1FE; D0X6SJ","Reperfusion injury","Approved"
34359,"D0P7JZ","Parkinson disease","Approved"
3291,"D0Q4XQ","Epilepsy","Approved"
448042,"D0B5LF","Myocardial infarction","Approved"
448042,"D0B5LF","Asthma","Terminated"
2717,"D0S1OE","Anxiety disorder","Approved"
5983,"D09JVV","Xerostomia","Discontinued in Phase 2"
176157,"D04KWH","Depression","Investigative"
5757,"D08QMX","Breast cancer","Approved"
5870,"D00ZFP","Menopausal and postmenopausal disorder","Approved"
3331,"D05KON","Epilepsy","Approved"
3000226,"D0X7XG","Bacterial infection","Approved"
3000226,"D0X7XG","MRSA infection","Phase 3"
3343,"D04XEG","Asthma","Approved"
3035850,"D0U0KR","Hepatocellular carcinoma","Phase 2"
3035850,"D0U0KR","Hepatitis C virus infection","Phase 1/2"
36811,"D0J7RK","Heart failure","Approved"
2968,"D05QNO","Muscle spasm","Approved"
2966,"D0MP5H","Hypertension","Approved"
3339,"D07XGR; D01PKG","High cholesterol level","Approved"
3339,"D07XGR; D01PKG","Hyperlipidaemia","Phase 3"
3385,"D05LEO","Solid tumour/cancer","Approved"
3385,"D05LEO","Tumour","Investigative"
3385,"D05LEO","Colorectal cancer","Investigative"
3341,"D0R6BI","Hypertension","Approved"
5360696,"D09OBB","Cough","Approved"
47936,"D0Y7VM","Solid tumour/cancer","Investigative"
5702160,"D0K0OZ","Peptic ulcer","Approved"
5469318,"D00KTV","Lung cancer","Phase 2"
5469318,"D00KTV","Non-small-cell lung cancer","Discontinued in Phase 2"
5469318,"D00KTV","Pancreatic cancer","Discontinued in Phase 1/2"
53276,"D0SD9V","Fibromyalgia","Phase 2"
53276,"D0SD9V","Cancer related pain","Phase 2"
3397,"D0Y0SW","Prostate cancer","Approved"
2993,"D0I2FI","Myelopathy","Clinical trial"
3162,"D0Y2LR","Morning sickness","Approved"
2995,"D01UTL","Attention deficit hyperactivity disorder","Approved"
2995,"D01UTL","Depression","Approved"
5881,"D0K0EK","Chronic obstructive pulmonary disease","Approved"
5881,"D0K0EK","Cardiovascular disease","Phase 4"
25419,"D00HNB","Hypercalcaemia","Approved"
3410,"D04KJO","Asthma","Approved"
3333,"D0WN0U","Hypertension","Approved"
3396,"D0U5FS","Schizophrenia","Approved"
4828,"D0F2PO","Hypertension","Approved"
6603857,"D02YAQ","Breast cancer","Terminated"
135398740,"D05ARP","Virus infection","Approved"
5961,"D01JIA","Short bowel syndrome","Approved"
24066,"D0Z9QR","Human immunodeficiency virus infection","Approved"
5311070,"D0D3VT","Psychotic disorder","Phase 1/2"
5280961,"D0L4FS","Menopause symptom","Phase 2/3"
5280961,"D0L4FS","Prostate cancer","Phase 2"
6172,"D05SJW","Stabilize muscle contraction","Approved"
54680690,"D0R9WP","Bronchitis","Approved"
54680690,"D0R9WP","Acne vulgaris","Approved"
54680690,"D0R9WP","Lyme disease","Approved"
3053,"D03WLI","Radioactive tracer","Approved"
3033,"D0TG1H","Osteoarthritis","Approved"
3765,"D03KEK","Malaria","Approved"
3538,"D0A9VO","Alzheimer disease","Terminated"
3114,"D0M4YC","Ventricular arrhythmias","Approved"
3114,"D0M4YC","Urinary incontinence","Withdrawn from market"
3042,"D07XJM","Functional bowel syndrome","Approved"
3505,"D0M7BW","Neurodegenerative disorder","Terminated"
28417,"D09IPV","Menorrhagia","Approved"
28417,"D09IPV","Breast cancer","Phase 2"
3637,"D0K1XK","Hypertension","Approved"
29435,"D0S5LT","Pompe disease","Phase 3"
6047,"D08HVR","Parkinson disease","Approved"
3108,"D0F9GE; D0R4NR","Hypertension","Approved"
3108,"D0F9GE; D0R4NR","Rheumatoid arthritis","Phase 2"
5754,"D0KR5B","Inflammation","Approved"
5754,"D0KR5B","Congenital adrenal hyperplasia","Phase 2"
3639,"D0U4UQ","Hypertension","Approved"
54671203,"D0S0LZ","Chronic periodontitis","Approved"
54671203,"D0S0LZ","Advanced gum disease","Approved"
54671203,"D0S0LZ","Diabetic foot ulcer","Phase 2"
6238,"D00AEQ","Solid tumour/cancer","Approved"
5288209,"D08JAC","Macular degeneration","Phase 3"
5288209,"D08JAC","Lymphoma","Phase 2"
5288209,"D08JAC","Peripheral T-cell lymphoma","Phase 2"
5288209,"D08JAC","Solid tumour/cancer","Phase 2"
5288209,"D08JAC","Tumour","Phase 1"
1242,"D0OU7P","Type-2 diabetes","Terminated"
3657,"D07CWD","Chronic myelogenous leukaemia","Approved"
197835,"D0L1JW","Haemostatic astringent","Approved"
3151,"D0AV3G","Gastrointestinal disease","Approved"
4943,"D0A3HB","Anaesthesia","Approved"
60703,"D0S8CI","Multiple sclerosis","Phase 2"
154417,"D0RD5W","Gastrointestinal disease","Approved"
785,"D03UOT","Melasma","Approved"
3308,"D0N1WU","Pain","Approved"
3671,"D03QJL","Castleman's disease","Approved"
3671,"D03QJL","Amyotrophic lateral sclerosis","Phase 2"
3671,"D03QJL","Alcohol dependence","Phase 2"
3671,"D03QJL","Methamphetamine dependence","Phase 2"
3671,"D03QJL","Opioid dependence","Phase 2"
3671,"D03QJL","Multiple sclerosis","Phase 2"
53708,"D0E0SW","Congestive heart failure","Approved"
36462,"D0B7EB","Solid tumour/cancer","Approved"
3277,"D0J6LN","Neurodegenerative disorder","Phase 2"
10219,"D07DJQ","Hepatitis virus infection","Approved"
42890,"D01XDL","Acute myeloid leukaemia","Approved"
4170,"D01WLC","Edema","Approved"
4170,"D01WLC","Hypertension","Approved"
3779,"D0I8FI","Heart block","Approved"
3779,"D0I8FI","Melanoma","Phase 1"
3672,"D0R1QE","Pain","Approved"
55245,"D0Z4EI","Cushing disease","Approved"
4032,"D0V8HA","Essential hypertension","Approved"
4054,"D01JEU","Alzheimer disease","Approved"
3715,"D0R1RS","Rheumatoid arthritis","Approved"
54675783,"D08LTU","Bacterial infection","Approved"
54675783,"D08LTU","Rosacea","Phase 2"
4922,"D04HQT","Influenza virus infection","Phase 2"
38853,"D0BA6T","Hypertension","Approved"
9681,"D0O6GC","Migraine","Approved"
3682,"D04DJS","Gastric adenocarcinoma","Phase 3"
3682,"D04DJS","HER2-positive breast cancer","Phase 3"
132787,"D0P2QO","Anxiety disorder","Phase 2"
23897,"D09TPF","Schizophrenia","Approved"
123683,"D0Y6ZK","Solid tumour/cancer","Phase 3"
123683,"D0Y6ZK","Psoriasis vulgaris","Phase 3"
123683,"D0Y6ZK","Plaque psoriasis","Phase 2/3"
123683,"D0Y6ZK","Rheumatoid arthritis","Phase 2"
4273754,"D0YZ8I","Organ transplant rejection","Patented"
4495,"D0C0JT","Metastatic colorectal cancer","Terminated"
4495,"D0C0JT","Non-small-cell lung cancer","Terminated"
4495,"D0C0JT","Non-hodgkin lymphoma","Terminated"
456201,"D0B4IF","Fungal infection","Approved"
3826,"D0D9JW","Postoperative inflammation","Approved"
3825,"D0W9WF","Musculoskeletal pain","Approved"
3825,"D0W9WF","Pain","Phase 3"
3825,"D0W9WF","Migraine","Phase 2"
3825,"D0W9WF","Osteoarthritis","Phase 1"
3827,"D0YG7M","Allergic conjunctivitis","Approved"
3074827,"D0VX5O","Cocaine addiction","Phase 2"
5360515,"D0PG8O","Alcohol dependence","Approved"
5360515,"D0PG8O","Human immunodeficiency virus infection","Phase 4"
4477,"D0J9ZR","Cestodes infection","Approved"
54682505,"D0M1WN","Cerebrovascular ischaemia","Terminated"
3965,"D0LR4B","Inflammation","Approved"
3869,"D0A8XN","Hypertension","Approved"
3885,"D0W0VD","Solid tumour/cancer","Phase 2"
4421,"D07JGT","Urinary tract infection","Approved"
5311304,"D01KQA","Pain","Approved"
5311304,"D01KQA","Prurigo nodularis","Phase 2/3"
5311304,"D01KQA","Uremic pruritus","Phase 2/3"
71398,"D0U3YB","Prostate cancer","Approved"
9872389,"D0Q8RX","Miscarriage","Discontinued in Phase 1"
3948,"D02KOF","Bacterial infection","Approved"
101616,"D01IVE","Substance use disorder","Phase 2"
39562,"D09SIR","Benign prostatic hyperplasia","Discontinued in Phase 3"
89594,"D0T8GD","Nicotine dependence","Approved"
89594,"D0T8GD","Tobacco dependence","Clinical trial"
4436,"D0O6IZ","Itching","Approved"
